objectid;fid;code_insee;reg;dep;cv;ze2010;libgeo;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p
34958;34957;Écuisses;22;2;204;2206;35332;62;61;11;8;9;13;13;8;11;8;13;14;8;7
34959;34958;Teillay;22;2;236;56;69070;220;234;37;35;48;57;34;8;44;43;64;53;23;7
34960;34959;6901;22;2;211;2202;Cublize;450;414;98;56;100;92;74;29;94;62;94;76;60;29
35004;35003;4613;22;2;221;2204;65006;220;197;74;29;66;30;17;4;67;26;61;22;16;4
35116;35115;2915;22;2;219;2204;Saint-Évarzec;282;276;46;63;41;60;50;23;49;51;58;55;38;25
35205;35204;Brigné;22;2;223;2203;53025;219;199;42;38;43;46;31;20;32;36;43;44;25;20
35331;35330;45082;22;2;219;2204;Châteauneuf-sur-Loire;188;186;36;59;26;33;22;12;35;59;25;33;16;17
35338;35337;4409;22;2;213;2204;Mortiers;203;211;42;36;37;45;25;18;51;27;47;44;29;13
35341;35340;5045;22;2;212;2204;Sainte-Croix;136;132;26;18;32;32;20;7;33;17;36;31;10;6
35343;35342;Bouillac;22;2;231;2206;76279;1345;1392;267;239;262;281;167;129;275;272;290;288;163;104
35344;35343;7620;22;2;235;2206;Foucart;301;290;70;33;66;69;42;20;64;35;74;66;28;24
35385;35384;53139;22;2;215;2201;5327;82;81;11;12;13;28;12;6;8;13;17;23;15;6
35387;35386;6111;22;2;238;2204;Rânes;341;351;70;45;71;77;58;20;73;57;81;88;40;12
35581;35580;64032;22;2;214;2204;6424;471;449;99;68;86;96;79;43;90;59;90;97;76;36
35601;35600;730;22;2;204;2206;Viviers;697;645;152;121;158;130;105;30;130;112;142;149;76;36
35605;35604;21505;22;2;217;2203;Précy-sous-Thil;1003;1000;221;156;195;221;138;72;215;175;207;225;104;74
35698;35697;409;22;2;226;2204;Val-de-Chalvagne;123;135;26;20;28;32;8;8;36;23;36;23;6;10
35699;35698;58208;22;2;202;2203;Pazy;77;75;15;12;10;12;19;9;15;9;15;5;24;7
35707;35706;9316;22;2;204;2206;Troye-d'Ariège;92;85;18;17;18;27;12;1;19;19;17;19;9;1
35792;35791;5915;22;2;242;2202;Saint-Aubert;421;386;106;66;101;60;57;32;92;56;96;73;32;37
35916;35915;44140;22;2;232;2206;La Regrippière;301;257;77;48;69;59;25;23;59;42;58;47;29;22
36044;36043;21117;22;2;210;2201;Busseaut;663;637;130;84;137;138;93;81;109;96;116;140;87;88
36095;36094;Charentay;22;2;217;2203;38429;882;879;171;115;154;204;156;83;187;121;168;192;141;71
36096;36095;3805;22;2;230;2204;Saint-Michel-les-Portes;210;202;47;43;46;42;21;11;50;30;50;43;15;14
36104;36103;53007;22;2;203;2205;Argentré;128;110;26;25;23;33;11;9;23;16;25;22;14;8
