objectid;fid;code_insee;reg;dep;cv;ze2010;libgeo;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p
12184;12183;2773;22;2;204;2206;Vauxtin;50;51;6;5;11;12;14;3;9;8;11;13;8;2
12309;12308;2418;22;2;205;2203;Lerzy;217;182;37;34;42;53;23;28;29;32;38;36;28;20
12333;12332;2184;22;2;225;2204;Chevresis-Monceau;363;354;72;41;73;63;43;70;60;60;63;60;52;57
12382;12381;2360;22;2;221;2204;Guignicourt;2140;2149;436;300;450;392;367;195;424;317;448;459;316;184
12384;12383;2297;22;2;208;2201;Étrépilly;81;88;11;6;15;25;13;11;18;10;22;20;13;7
12479;12478;2736;22;2;235;2206;Tartiers;193;166;52;30;49;31;24;7;40;26;35;35;15;16
12520;12519;2007;22;2;212;2204;Aizelles;113;104;16;17;28;21;22;9;19;15;21;27;17;6
12598;12597;2820;22;2;209;2202;Viry-Noureuil;1802;1952;338;294;372;467;209;123;417;309;476;420;226;105
12706;12705;2062;22;2;208;2201;Belleau;139;132;33;18;32;29;18;9;26;19;36;25;15;11
12870;12869;2600;22;2;219;2204;Pierrepont;396;392;87;52;69;93;57;38;80;59;89;73;59;31
12905;12904;2011;22;2;235;2206;Ambleny;1135;1147;225;204;211;247;172;76;234;205;262;255;129;62
12945;12944;2738;22;2;242;2202;Tergnier;14135;14600;2781;2661;2610;2771;1936;1377;2879;2646;2985;2790;1877;1422
12970;12969;2392;22;2;206;2205;Joncourt;321;326;66;44;69;74;40;29;79;41;78;66;39;23
12973;12972;2828;22;2;232;2206;Vregny;90;95;12;12;16;22;14;13;15;17;17;27;11;7
13015;13014;2610;22;2;231;2206;Pommiers;626;619;116;62;93;145;155;56;104;77;111;182;100;45
13145;13144;2374;22;2;206;2205;Lehaucourt;921;770;193;214;183;175;103;52;155;122;180;163;113;36
13385;13384;2208;22;2;221;2204;Concevreux;263;244;64;37;57;63;21;21;62;36;55;44;32;15
13461;13460;2493;22;2;219;2204;Monceau-le-Waast;235;237;49;34;53;36;42;22;52;48;44;48;28;19
13504;13503;2018;22;2;201;2206;Anizy-le-Château;1912;1900;343;324;304;413;319;210;368;280;361;424;261;206
13505;13504;2324;22;2;205;2203;Fontenelle;283;279;67;44;56;57;40;20;63;41;54;60;36;25
13506;13505;2699;22;2;215;2201;Saponay;261;260;48;43;55;67;29;18;53;49;71;48;25;15
13583;13582;2402;22;2;233;2205;Lanchy;51;57;15;7;11;8;10;1;17;9;12;13;4;3
13622;13621;2546;22;2;209;2202;La Neuville-en-Beine;185;164;51;20;39;44;19;12;33;26;31;43;20;11
13699;13698;2167;22;2;204;2206;Chassemy;807;774;191;116;185;167;88;61;176;139;162;152;83;62
13742;13741;2029;22;2;233;2205;Attilly;378;403;80;60;86;93;44;15;97;66;104;91;29;15
13779;13778;2101;22;2;219;2204;Bosmont-sur-Serre;207;206;42;27;37;42;35;24;43;31;39;42;27;24
13781;13780;2049;22;2;211;2202;Barisis;728;699;134;94;148;149;140;64;131;99;147;160;110;52
13820;13819;2313;22;2;216;2203;Flavigny-le-Grand-et-Beaurain;483;425;103;74;88;120;57;41;81;69;79;104;59;33
13880;13879;2688;22;2;227;2203;Saint-Pierre-lès-Franqueville;66;58;24;8;15;5;5;8;17;7;15;8;9;2
13882;13881;2034;22;2;211;2202;Audignicourt;103;101;23;16;23;25;12;5;29;15;24;22;6;5
13940;13939;2021;22;2;226;2204;Archon;85;92;18;7;18;15;16;11;18;13;20;13;21;7
13942;13941;2215;22;2;212;2204;Corbeny;746;693;144;117;174;135;99;77;145;123;145;138;64;78
13984;13983;2121;22;2;224;2201;Breny;262;267;60;44;59;49;28;22;57;59;65;43;18;26
14036;14035;2069;22;2;226;2204;Berlise;124;118;30;14;26;22;24;9;26;16;24;24;20;8
14102;14101;2141;22;2;205;2203;La Capelle;1838;1914;277;329;285;380;307;260;305;341;332;414;279;243
14239;14238;2258;22;2;222;56;Dammard;411;419;76;44;87;105;55;44;102;49;102;83;49;34
14265;14264;2272;22;2;224;2206;Droizy;74;78;11;15;14;22;6;6;17;14;19;13;7;8
14330;14329;2094;22;2;208;2201;Blesmes;384;379;77;55;78;86;68;21;69;61;86;85;65;13
14332;14331;2221;22;2;207;2201;Coupru;196;170;48;34;48;40;19;6;40;31;43;34;14;8
14333;14332;2653;22;2;207;2201;Romeny-sur-Marne;486;478;89;81;89;114;79;33;108;58;112;108;54;36
14382;14381;2634;22;2;226;2204;Raillimont;86;84;18;12;15;17;14;10;21;8;16;20;13;7
14383;14382;2341;22;2;234;2203;Gercy;292;304;59;39;54;72;51;17;63;43;59;82;39;18
14384;14383;2385;22;2;227;2204;Housset;171;180;33;33;24;52;18;12;44;24;44;41;16;11
14394;14393;2640;22;2;225;2205;Renansart;170;172;36;21;37;32;30;15;28;34;29;35;27;18
14396;14395;2431;22;2;242;2205;Liez;428;448;63;65;78;88;96;38;83;59;95;113;68;31
14398;14397;2625;22;2;216;2205;Proix;149;143;32;17;35;25;30;12;31;18;33;27;22;14
14403;14402;2294;22;2;238;2204;Étouvelles;221;207;36;34;34;65;38;13;37;25;37;70;25;14
14404;14403;2179;22;2;204;2206;Chéry-Chartreuve;339;330;64;48;79;73;51;26;64;54;82;64;47;19
14444;14443;2698;22;2;232;2206;Sancy-les-Cheminots;111;110;23;22;20;27;14;7;29;17;29;23;7;4
14483;14482;2056;22;2;209;2202;Beaumont-en-Beine;166;149;37;22;46;27;20;14;28;25;38;31;15;13
14603;14602;2642;22;2;226;2204;Résigny;175;169;18;26;33;40;35;23;26;20;37;30;43;14
14645;14644;2783;22;2;237;2203;Grand-Verly;152;132;33;28;28;37;10;16;32;22;32;25;14;7
14718;14717;2807;22;2;209;2202;Villequier-Aumont;634;591;115;90;117;163;104;46;115;74;133;154;73;42
14719;14718;2549;22;2;240;2205;Neuville-Saint-Amand;887;849;169;135;183;215;132;54;165;118;171;235;116;44
14720;14719;2214;22;2;229;2205;Contescourt;64;72;13;12;15;11;7;6;16;18;12;17;6;3
14723;14722;2750;22;2;211;2202;Trosly-Loire;596;583;135;91;124;120;78;48;126;91;124;98;94;50
14766;14765;2155;22;2;201;2204;Chaillevois;185;182;33;27;32;47;27;19;30;30;40;42;25;15
14769;14768;2477;22;2;241;2206;Mercin-et-Vaux;943;930;180;104;179;204;197;79;164;121;201;233;163;49
14910;14909;2499;22;2;201;2204;Montbavin;44;36;10;8;7;7;7;3;9;2;6;11;6;2
14977;14976;2209;22;2;210;2201;Condé-en-Brie;659;633;120;112;138;113;109;67;117;92;129;123;109;63
15017;15016;2728;22;2;205;2203;Sorbais;278;277;54;42;49;59;50;24;48;51;45;67;41;25
15026;15025;2550;22;2;212;2204;Neuville-sur-Ailette;100;77;17;15;22;29;11;6;7;16;12;30;7;4
15028;15027;2413;22;2;201;2204;Laval-en-Laonnois;255;242;50;48;57;57;36;7;62;34;61;51;30;4
15029;15028;2398;22;2;231;2206;Juvigny;292;291;81;51;64;60;23;13;74;49;81;51;28;8
15030;15029;2612;22;2;232;2206;Pont-Arcy;129;127;28;19;29;26;16;11;29;22;32;19;13;12
15147;15146;2703;22;2;203;2205;Seboncourt;1089;1072;219;177;206;209;161;117;206;171;213;213;156;113
15262;15261;2162;22;2;207;2201;La Chapelle-sur-Chézy;283;264;85;42;61;62;15;17;62;57;58;53;24;9
15282;15281;2146;22;2;210;2201;Celles-lès-Condé;77;76;14;11;9;23;8;11;15;11;13;14;16;7
15325;15324;2650;22;2;205;2203;Rocquigny;391;395;87;52;68;83;70;31;77;76;78;86;53;25
15336;15335;2539;22;2;206;2205;Nauroy;703;683;154;106;131;160;100;51;139;116;154;141;86;47
15337;15336;2658;22;2;233;2205;Roupy;235;251;40;38;35;58;42;22;58;35;52;56;28;20
15385;15384;2071;22;2;235;2206;Berny-Rivière;622;591;124;90;123;156;90;39;124;88;130;141;70;38
15423;15422;2568;22;2;236;56;Oigny-en-Valois;137;165;17;18;20;51;21;11;27;28;32;48;20;10
15615;15614;2554;22;2;208;2201;Nogentel;1012;1061;182;116;205;218;204;87;202;149;240;221;175;73
15659;15658;2544;22;2;217;2203;Neuve-Maison;604;633;125;112;122;130;77;38;157;105;139;139;63;30
15660;15659;2535;22;2;234;2203;Nampcelles-la-Cour;134;135;23;19;20;31;23;18;20;19;25;25;24;23
15666;15665;2348;22;2;204;2204;Glennes;231;204;64;35;60;48;17;6;61;26;62;38;8;9
15668;15667;2318;22;2;211;2206;Folembray;1466;1530;292;253;273;322;184;143;319;273;314;308;166;151
15934;15933;2182;22;2;227;2204;Chevennes;141;144;34;17;28;34;16;11;27;30;27;34;18;6
15938;15937;2330;22;2;233;2205;Francilly-Selency;457;455;69;67;77;102;104;37;92;54;103;97;84;26
15940;15939;2534;22;2;221;2204;Muscourt;48;41;13;5;9;9;11;1;9;6;9;10;6;2
15941;15940;2033;22;2;212;2204;Aubigny-en-Laonnois;113;116;21;14;23;29;20;6;22;20;20;30;14;11
15942;15941;2472;22;2;230;2204;Mauregny-en-Haye;448;404;104;81;95;96;50;23;87;76;85;81;48;27
15944;15943;2115;22;2;212;2206;Braye-en-Laonnois;223;211;43;32;40;45;40;23;53;24;49;41;31;13
15945;15944;2003;22;2;204;2206;Acy;989;907;214;141;212;200;151;71;180;118;216;219;125;49
15946;15945;2316;22;2;236;56;Fleury;126;142;17;19;21;34;27;8;24;20;29;39;27;5
16116;16115;2769;22;2;237;2205;Vaux-Andigny;960;967;188;161;159;209;101;142;200;162;191;192;97;125
16162;16161;2298;22;2;237;2203;Étreux;1479;1642;256;293;243;355;217;116;324;316;330;363;198;111
16180;16179;2026;22;2;210;2201;Artonges;193;159;43;25;33;57;19;16;30;27;32;42;16;12
16181;16180;2594;22;2;222;56;Passy-en-Valois;166;143;52;19;46;25;11;12;37;24;40;23;7;11
16182;16181;2443;22;2;207;2201;Lucy-le-Bocage;179;176;35;20;36;42;29;17;41;22;44;31;21;17
16183;16182;2579;22;2;224;56;Oulchy-la-Ville;126;128;19;17;20;39;17;12;24;20;33;28;15;8
16217;16216;2584;22;2;205;2203;Papleux;108;110;26;25;25;18;12;2;34;13;29;20;10;4
16218;16217;2386;22;2;216;2203;Iron;221;226;39;38;32;52;45;14;29;42;44;66;28;18
16225;16224;2322;22;2;239;2205;Fontaine-Notre-Dame;382;385;85;40;86;94;58;19;76;67;76;101;48;17
16227;16226;2065;22;2;206;2205;Bellicourt;635;643;140;95;138;133;92;37;146;102;155;127;74;39
16230;16229;2821;22;2;218;2204;Vivaise;765;759;189;107;171;136;118;44;192;119;185;161;74;28
16231;16230;2527;22;2;235;2206;Morsain;425;428;90;52;96;95;52;40;72;84;89;94;39;49
16258;16257;2180;22;2;213;2204;Chéry-lès-Pouilly;676;658;154;87;147;155;90;43;126;106;151;148;81;47
16260;16259;2047;22;2;213;2204;Barenton-Cel;131;148;24;23;30;32;15;7;39;23;39;27;10;10
16301;16300;2075;22;2;220;2205;Berthenicourt;210;206;39;32;39;52;31;17;41;32;39;55;26;14
16423;16422;2103;22;2;223;2203;Boué;1276;1276;251;199;215;254;226;131;241;204;255;298;159;119
16445;16444;2148;22;2;232;2206;Celles-sur-Aisne;252;245;46;37;61;61;29;18;51;37;64;55;22;16
16478;16477;2239;22;2;210;2201;Crézancy;1125;1100;251;235;243;206;125;65;213;251;232;219;118;66
16479;16478;2203;22;2;215;2201;Coincy;1312;1218;306;221;267;231;200;86;294;196;287;213;150;77
16481;16480;2466;22;2;222;56;Marizy-Sainte-Geneviève;132;135;25;21;29;30;22;5;32;22;32;33;11;5
16526;16525;2814;22;2;216;2203;Villers-lès-Guise;161;176;22;22;30;45;24;18;26;34;33;47;21;14
16577;16576;2541;22;2;221;2204;Neufchâtel-sur-Aisne;409;452;82;50;97;98;50;31;99;80;105;94;46;27
16733;16732;2669;22;2;210;2201;Saint-Agnan;103;108;16;11;25;29;17;5;15;22;25;30;9;7
16734;16733;2521;22;2;207;2201;Montreuil-aux-Lions;1396;1333;314;252;284;287;167;91;304;246;280;283;139;81
16780;16779;2023;22;2;222;2201;Armentières-sur-Ourcq;101;101;13;26;19;27;11;5;21;16;24;23;13;3
16781;16780;2187;22;2;208;2201;Chierry;1048;1050;164;154;178;221;209;122;160;158;196;228;215;93
16782;16781;2163;22;2;207;2201;Charly-sur-Marne;2711;2706;573;435;535;541;385;242;569;511;499;559;316;252
16831;16830;2133;22;2;230;2204;Bucy-lès-Pierrepont;419;420;79;62;78;102;45;52;88;69;87;87;50;39
16832;16831;2513;22;2;219;2204;Montigny-le-Franc;156;169;20;21;27;42;34;13;25;31;24;50;22;17
16833;16832;2731;22;2;227;2203;Le Sourd;164;161;28;26;34;33;33;9;32;23;31;36;26;13
16841;16840;2659;22;2;239;2205;Rouvroy;468;381;86;61;85;107;99;30;41;57;69;124;66;24
16842;16841;2028;22;2;238;2204;Athies-sous-Laon;2631;2230;482;424;553;582;388;202;420;324;499;490;358;138
16843;16842;2177;22;2;238;2204;Chérêt;123;118;20;10;27;31;25;12;15;17;19;37;22;7
16845;16844;2434;22;2;201;2204;Lizy;275;223;63;34;60;65;37;17;39;37;53;58;27;10
16846;16845;2763;22;2;204;2206;Vasseny;209;195;56;28;51;33;29;11;44;37;44;37;21;13
16911;16910;2710;22;2;229;2205;Seraucourt-le-Grand;786;784;148;161;149;191;104;32;175;151;178;171;85;23
16913;16912;2369;22;2;234;2203;Harcigny;248;255;44;31;44;46;50;32;42;43;56;44;47;22
17038;17037;2678;22;2;226;2204;Sainte-Geneviève;76;72;18;10;12;14;10;11;17;12;13;12;9;8
17102;17101;2223;22;2;210;2201;Courboin;300;273;65;46;74;66;30;20;56;45;77;49;29;19
17153;17152;2197;22;2;205;2203;Clairfontaine;571;528;97;135;122;107;72;37;109;113;122;89;70;26
17157;17156;2747;22;2;233;2205;Trefcon;86;84;21;14;20;16;10;4;16;11;22;13;12;9
17158;17157;2446;22;2;220;2205;Ly-Fontaine;126;104;35;18;35;27;8;3;28;16;34;20;1;5
17161;17160;2190;22;2;232;2206;Chivres-Val;584;592;123;67;125;135;91;43;132;78;134;144;63;41
17162;17161;2533;22;2;224;2206;Muret-et-Crouttes;136;127;28;16;31;33;13;15;28;16;34;18;17;14
17163;17162;2461;22;2;209;2202;Marest-Dampcourt;340;331;60;54;81;82;37;26;64;49;81;80;28;29
17377;17376;2301;22;2;201;2204;Faucoucourt;307;302;72;47;62;67;39;20;66;56;68;60;32;20
17439;17438;2186;22;2;207;2201;Chézy-sur-Marne;1320;1327;197;184;205;306;264;164;202;200;246;324;190;165
17480;17479;2401;22;2;234;2203;Laigny;224;234;43;41;40;47;30;23;44;47;46;45;31;22
17487;17486;2760;22;2;237;2205;La Vallée-Mulâtre;153;142;32;25;31;33;22;11;29;19;29;30;20;14
17488;17487;2775;22;2;220;2205;Vendeuil;916;902;150;110;168;215;152;123;159;107;186;208;145;96
17489;17488;2250;22;2;212;2204;Cuiry-lès-Chaudardes;79;77;18;11;23;9;9;8;25;7;23;7;10;6
17490;17489;2102;22;2;212;2204;Bouconville-Vauclair;194;157;45;29;45;40;22;13;33;18;32;40;22;12
17495;17494;2012;22;2;224;2206;Ambrief;63;65;7;12;16;18;5;4;9;18;15;15;4;4
17496;17495;2817;22;2;204;2206;Ville-Savoye;59;58;11;8;9;15;7;9;7;8;13;11;10;9
17554;17553;2325;22;2;210;2201;Fontenelle-en-Brie;223;177;52;39;45;46;23;18;30;36;35;40;21;15
17571;17570;2570;22;2;229;2205;Ollezy;166;135;37;27;48;18;23;13;26;23;31;24;21;11
17717;17716;2451;22;2;206;2205;Magny-la-Fosse;127;132;27;24;22;29;18;7;28;26;21;40;13;4
17794;17793;2025;22;2;229;2205;Artemps;360;354;75;71;79;71;41;23;77;78;77;73;34;17
17798;17797;2132;22;2;218;2204;Bucy-lès-Cerny;192;179;58;17;52;35;22;7;42;28;46;35;18;10
17799;17798;2153;22;2;201;2204;Cessières;482;437;93;74;104;118;68;26;80;64;109;120;40;25
17800;17799;2805;22;2;231;2206;Villeneuve-Saint-Germain;2461;2401;445;452;455;533;387;190;448;441;468;525;339;181
18019;18018;2623;22;2;234;2203;Prisces;113;113;23;9;22;27;22;11;25;14;24;22;17;13
18041;18040;2189;22;2;230;2204;Chivres-en-Laonnois;370;345;77;63;83;77;39;31;76;62;74;63;40;31
18045;18044;2123;22;2;220;2205;Brissay-Choigny;307;318;59;31;71;60;56;31;65;49;68;63;39;34
18104;18103;2516;22;2;219;2204;Montigny-sous-Marle;70;69;15;7;11;14;18;6;15;9;13;12;15;7
18111;18110;2027;22;2;213;2204;Assis-sur-Serre;279;249;54;41;57;63;37;27;49;44;57;52;28;19
18112;18111;2639;22;2;220;2205;Remigny;393;348;88;69;97;80;36;24;65;65;71;80;41;24
18113;18112;2772;22;2;233;2205;Vaux-en-Vermandois;130;142;22;23;25;27;15;18;29;24;29;29;16;15
18114;18113;2808;22;2;206;2205;Villeret;314;313;74;62;69;54;26;29;71;56;80;47;31;28
18115;18114;2257;22;2;229;2205;Dallon;392;381;68;59;69;84;82;30;44;56;70;100;76;35
18116;18115;2811;22;2;204;2204;Villers-en-Prayères;126;116;23;18;17;35;19;13;16;16;17;41;17;10
18119;18118;2229;22;2;230;2204;Courtrizy-et-Fussigny;64;75;10;9;11;14;17;4;11;17;11;19;12;6
18121;18120;2259;22;2;236;56;Dampleux;426;420;82;53;79;122;67;23;106;59;92;101;46;16
18122;18121;2438;22;2;236;56;Longpont;301;277;63;46;62;80;32;18;54;45;53;74;38;13
18339;18338;2784;22;2;237;2205;Petit-Verly;182;195;38;42;34;42;19;7;41;47;48;30;15;14
18424;18423;2420;22;2;239;2205;Lesdins;847;797;168;94;171;188;183;43;164;111;164;203;117;37
18425;18424;2336;22;2;209;2202;Frières-Faillouël;999;851;245;174;233;217;98;32;171;173;195;203;80;28
18430;18429;2406;22;2;211;2206;Landricourt;129;118;27;23;27;29;11;12;27;12;27;25;21;6
18431;18430;2423;22;2;211;2206;Leuilly-sous-Coucy;404;420;91;53;77;101;51;31;95;58;103;92;45;27
18432;18431;2176;22;2;232;2206;Chavonne;191;187;44;31;52;37;13;14;49;24;60;26;20;7
18433;18432;2711;22;2;204;2206;Serches;315;298;66;59;64;75;36;13;57;75;58;65;30;12
18536;18535;2302;22;2;236;56;Faverolles;332;340;66;62;67;87;34;15;85;64;77;74;27;14
18672;18671;2091;22;2;204;2206;Blanzy-lès-Fismes;93;96;11;20;16;16;22;7;21;14;19;18;18;6
18721;18720;2280;22;2;208;2201;Épieds;399;350;84;64;88;96;49;19;72;58;74;96;32;17
18771;18770;2248;22;2;219;2204;Cuirieux;161;159;43;21;37;28;24;8;41;22;40;33;17;6
18772;18771;2641;22;2;226;2204;Renneval;133;131;31;16;25;26;20;16;28;19;34;18;17;15
18779;18778;2287;22;2;220;2205;Essigny-le-Grand;1097;1143;195;143;197;289;203;70;233;152;228;333;146;51
18780;18779;2019;22;2;229;2205;Annois;386;375;65;66;68;78;73;36;65;70;66;92;61;21
18782;18781;2578;22;2;212;2204;Oulches-la-Vallée-Foulon;75;50;24;7;20;10;12;2;6;7;10;11;13;3
18784;18783;2475;22;2;221;2204;Menneville;409;375;96;66;102;68;52;26;105;43;114;53;41;18
18785;18784;2733;22;2;201;2204;Suzy;308;292;67;35;69;59;54;25;63;33;59;73;44;21
18786;18785;2619;22;2;201;2206;Prémontré;772;769;83;160;172;222;98;37;101;180;188;182;89;29
18787;18786;2447;22;2;224;2206;Maast-et-Violaine;155;159;33;32;35;31;17;7;36;33;43;25;18;5
18817;18816;2262;22;2;214;2202;Deuillet;239;196;57;32;53;55;25;17;42;40;42;41;22;10
18854;18853;2569;22;2;237;2203;Oisy;437;411;109;76;86;73;56;37;87;59;90;86;46;42
18981;18980;2786;22;2;211;2206;Verneuil-sous-Coucy;128;127;23;16;32;32;16;10;28;15;26;35;13;11
19056;19055;2351;22;2;215;2201;Goussancourt;114;94;32;8;36;14;9;15;21;17;21;11;15;8
19104;19103;2745;22;2;219;2204;Toulis-et-Attencourt;132;126;28;27;27;31;11;9;26;26;29;25;12;7
19110;19109;2656;22;2;221;2204;Roucy;397;391;91;62;87;81;47;30;120;40;113;61;34;22
19111;19110;2602;22;2;201;2206;Pinon;1810;1742;388;303;337;381;253;149;364;313;372;330;247;115
19112;19111;2395;22;2;211;2206;Jumencourt;154;149;38;18;30;46;15;7;41;15;33;43;13;5
19113;19112;2421;22;2;204;2206;Lesges;83;83;21;7;21;22;8;4;17;13;22;19;7;5
19184;19183;2211;22;2;221;2204;Condé-sur-Suippe;222;248;32;26;40;51;51;22;39;39;48;66;33;23
19301;19300;2356;22;2;222;2201;Grisolles;189;197;43;33;33;51;18;11;56;26;43;44;15;12
19322;19321;2478;22;2;201;2204;Merlieux-et-Fouquerolles;280;258;72;45;76;57;22;8;75;35;60;58;23;7
19382;19381;2168;22;2;208;2201;Château-Thierry;14413;14622;2628;2830;2799;2722;1923;1511;2645;3093;2626;2914;1843;1500
19426;19425;2668;22;2;227;2203;Sains-Richaumont;1033;937;200;182;171;205;153;122;176;130;182;179;172;98
19434;19433;2002;22;2;214;2205;Achery;608;533;148;83;130;109;96;42;104;92;107;111;79;40
19435;19434;2500;22;2;203;2205;Montbrehain;821;822;171;132;144;194;102;79;179;110;159;193;99;83
19436;19435;2035;22;2;216;2203;Audigny;278;240;72;38;63;49;36;20;52;31;59;44;33;20
19440;19439;2171;22;2;221;2204;Chaudardes;88;84;17;11;18;23;10;9;16;19;16;20;7;7
19443;19442;2531;22;2;212;2204;Moussy-Verneuil;126;130;24;25;19;25;19;14;28;23;19;26;19;15
19444;19443;2263;22;2;204;2206;Dhuizel;117;95;21;23;19;32;11;12;15;15;24;20;14;9
19515;19514;2414;22;2;216;2203;Lavaqueresse;215;212;46;42;41;41;32;14;48;32;45;42;20;25
19598;19597;2705;22;2;230;2204;La Selve;203;201;41;38;37;49;27;10;55;23;52;39;21;9
19693;19692;2125;22;2;222;56;Brumetz;221;200;63;27;47;45;20;20;54;31;48;32;22;15
19736;19735;2586;22;2;226;2204;Parfondeval;150;161;29;14;24;28;29;26;32;26;28;30;27;20
19747;19746;2409;22;2;230;2204;Lappion;298;287;65;46;64;67;27;29;53;57;58;59;23;37
19748;19747;2234;22;2;212;2204;Craonne;77;65;12;14;13;21;6;10;9;11;13;17;5;10
19750;19749;2131;22;2;232;2206;Bucy-le-Long;1940;1964;333;288;354;455;330;179;389;283;434;427;288;142
19751;19750;2172;22;2;224;2206;Chaudun;258;265;62;39;56;57;31;12;68;44;60;55;28;10
19777;19776;2561;22;2;238;2204;Nouvion-le-Vineux;159;163;33;16;35;41;25;9;29;35;32;46;19;2
19833;19832;2110;22;2;204;2206;Braine;2196;2099;446;335;391;413;307;303;366;370;401;406;269;289
19868;19867;2719;22;2;209;2202;Sinceny;2134;2131;388;314;410;460;333;230;444;319;458;447;314;150
19946;19945;2260;22;2;214;2202;Danizy;580;554;124;84;107;123;86;56;102;86;112;121;93;39
19951;19950;2144;22;2;233;2205;Caulaincourt;138;111;37;14;35;32;12;8;26;20;25;22;8;12
20054;20053;2416;22;2;227;2203;Lemé;445;449;75;79;80;100;63;48;75;74;92;98;66;44
20057;20056;2355;22;2;233;2205;Gricourt;904;845;227;144;210;207;87;29;192;132;203;214;84;20
20058;20057;2532;22;2;220;2205;Moÿ-de-l'Aisne;985;997;175;138;179;216;162;115;179;144;204;229;137;102
20059;20058;2488;22;2;237;2205;Molain;147;152;26;19;24;37;26;15;23;30;21;45;20;13
20060;20059;2473;22;2;214;2205;Mayot;180;174;47;24;46;37;14;13;35;35;43;32;17;12
20061;20060;2560;22;2;213;2204;Nouvion-le-Comte;275;279;55;48;51;60;35;24;53;52;46;67;37;25
20063;20062;2073;22;2;221;2204;Berry-au-Bac;588;521;109;97;150;124;75;33;105;90;120;99;66;41
20064;20063;2218;22;2;230;2204;Coucy-lès-Eppes;587;577;128;88;122;111;89;49;111;96;117;125;69;59
20066;20065;2439;22;2;204;2204;Longueval-Barbonval;490;452;123;77;129;89;41;31;105;82;107;92;34;32
20068;20067;2372;22;2;224;2206;Hartennes-et-Taux;350;340;89;48;72;69;48;23;70;52;75;73;50;19
20103;20102;2037;22;2;218;2204;Aulnois-sous-Laon;1336;1315;303;209;272;317;166;70;296;236;301;282;152;49
20274;20273;2331;22;2;227;2203;Franqueville;128;125;23;19;24;31;16;14;26;16;29;26;15;13
20275;20274;2498;22;2;230;2204;Montaigu;749;695;166;111;157;142;121;52;140;130;136;159;83;47
20291;20290;2046;22;2;213;2204;Barenton-Bugny;578;570;112;70;123;134;94;46;123;80;131;141;67;29
20292;20291;2149;22;2;220;2205;Cerizy;58;56;15;7;19;7;8;2;15;6;20;7;5;2
20311;20310;2358;22;2;237;2205;Grougis;390;364;76;62;86;98;48;20;74;76;74;79;42;18
20313;20312;2343;22;2;233;2205;Germaine;65;66;10;8;15;16;10;7;11;9;11;20;9;6
20342;20341;2268;22;2;207;2201;Domptin;670;618;167;105;161;140;64;32;158;107;143;114;59;36
20386;20385;2801;22;2;226;2204;Vigneux-Hocquet;284;276;64;37;51;53;53;26;54;39;60;44;55;22
20387;20386;2460;22;2;219;2204;Marcy-sous-Marle;220;207;38;36;54;46;31;15;34;25;53;40;44;10
20388;20387;2425;22;2;202;2203;Leuze;165;160;35;22;27;43;22;16;32;25;29;34;29;11
20400;20399;2635;22;2;203;2205;Ramicourt;169;175;42;28;34;42;12;11;46;33;42;33;12;9
20401;20400;2741;22;2;225;2205;Thenelles;561;586;116;75;108;101;90;71;107;101;112;122;89;55
20403;20402;2183;22;2;201;2204;Chevregny;194;195;36;34;37;42;31;16;36;35;41;47;15;21
20404;20403;2427;22;2;204;2206;Lhuys;149;137;36;24;40;29;10;10;33;22;39;25;15;3
20406;20405;2767;22;2;231;2206;Vauxrezis;337;330;45;62;59;95;61;16;59;48;74;103;37;9
20452;20451;2751;22;2;212;2204;Trucy;156;136;33;28;38;28;18;12;28;21;31;29;14;14
20621;20620;2265;22;2;226;2204;Dohis;99;84;13;10;15;21;24;16;7;8;12;25;19;13
20690;20689;2484;22;2;210;2201;Mézy-Moulins;529;500;112;99;89;129;63;36;89;100;96;120;59;35
20740;20739;2519;22;2;226;2204;Montloué;156;168;32;26;32;35;19;11;33;33;36;39;17;10
20741;20740;2055;22;2;202;2203;Beaumé;98;102;13;13;17;17;26;13;14;14;20;17;28;10
20742;20741;2737;22;2;219;2204;Tavaux-et-Pontséricourt;606;544;112;91;104;162;85;52;102;81;105;126;86;44
20749;20748;2016;22;2;214;2202;Andelain;187;172;40;20;51;43;21;11;32;27;41;40;23;7
20751;20750;2517;22;2;213;2204;Montigny-sur-Crécy;317;312;77;51;66;60;43;20;67;45;73;69;37;21
20752;20751;2370;22;2;206;2205;Hargicourt;565;538;122;85;133;113;70;42;107;84;118;129;64;36
20753;20752;2730;22;2;232;2206;Soupir;296;303;66;41;61;66;41;22;61;59;59;64;38;21
20754;20753;2081;22;2;209;2202;Béthancourt-en-Vaux;447;384;100;72;89;103;62;22;70;60;86;96;54;17
20755;20754;2090;22;2;224;56;Billy-sur-Ourcq;215;220;57;27;47;39;32;13;53;38;54;39;24;12
20756;20755;2001;22;2;209;2202;Abbécourt;536;474;115;97;105;94;78;47;92;73;106;87;74;42
20808;20807;2583;22;2;212;2204;Pancy-Courtecon;48;46;10;2;11;15;7;3;6;9;5;20;3;2
20810;20809;2687;22;2;235;2206;Saint-Pierre-Aigle;350;360;70;30;80;98;56;15;77;55;79;96;39;15
20813;20812;2673;22;2;235;2206;Saint-Christophe-à-Berry;426;419;94;62;114;66;61;29;95;63;111;68;57;25
